2022-05-04 17:18:58.366 ERROR [nio-8081-exec-1] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 0:0:0:0:0:0:0:1, STATUS: 400, ERROR: Missing required request parameter type
2022-05-04 18:58:15.347  INFO [nio-8081-exec-2] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 259
2022-05-04 18:58:17.861  INFO [nio-8081-exec-6] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 423
2022-05-04 18:58:18.244  INFO [nio-8081-exec-5] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data/run, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 375
2022-05-04 18:58:18.870  INFO [nio-8081-exec-7] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/type, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 159
2022-05-04 18:58:29.454  INFO [nio-8081-exec-9] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 86
2022-05-04 18:58:30.651  INFO [io-8081-exec-10] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 84
2022-05-04 18:58:47.744  INFO [nio-8081-exec-1] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 84
2022-05-04 18:58:57.673  INFO [nio-8081-exec-3] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/type, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 161
2022-05-04 18:58:57.898  INFO [nio-8081-exec-4] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 122
2022-05-04 18:59:01.337  INFO [nio-8081-exec-8] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 338
2022-05-04 18:59:01.533  INFO [nio-8081-exec-2] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data/run, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 181
2022-05-04 18:59:06.194  INFO [nio-8081-exec-6] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data/stop, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 55
2022-05-04 18:59:11.165  INFO [nio-8081-exec-5] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 83
2022-05-04 18:59:21.247  INFO [nio-8081-exec-9] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 77
2022-05-04 18:59:29.847  INFO [io-8081-exec-10] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 86
2022-05-04 18:59:36.023  INFO [nio-8081-exec-1] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/type, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 157
2022-05-04 18:59:36.233  INFO [nio-8081-exec-3] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 116
2022-05-04 18:59:37.609  INFO [nio-8081-exec-4] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 309
2022-05-04 18:59:37.744  INFO [nio-8081-exec-8] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data/run, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 128
2022-05-04 18:59:40.429  INFO [nio-8081-exec-2] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 312
2022-05-04 18:59:40.555  INFO [nio-8081-exec-6] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data/run, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 117
2022-05-04 18:59:42.148  INFO [nio-8081-exec-5] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 313
2022-05-04 18:59:42.284  INFO [nio-8081-exec-7] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data/run, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 129
2022-05-04 18:59:44.544  INFO [nio-8081-exec-9] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 316
2022-05-04 18:59:44.677  INFO [io-8081-exec-10] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data/run, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 117
2022-05-04 18:59:48.305  INFO [nio-8081-exec-1] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 42
2022-05-04 18:59:55.216  INFO [nio-8081-exec-3] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/type, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 156
2022-05-04 18:59:55.346  INFO [nio-8081-exec-4] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 40
2022-05-04 19:00:04.944  INFO [nio-8081-exec-8] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/type, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 154
2022-05-04 19:00:05.296  INFO [nio-8081-exec-2] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 38
2022-05-04 19:00:13.826  INFO [nio-8081-exec-6] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 310
2022-05-04 19:00:14.277  INFO [nio-8081-exec-5] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data/run, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 126
2022-05-04 19:00:16.272  INFO [nio-8081-exec-7] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 308
2022-05-04 19:00:16.403  INFO [nio-8081-exec-9] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data/run, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 118
2022-05-04 19:00:17.932  INFO [io-8081-exec-10] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 307
2022-05-04 19:00:18.360  INFO [nio-8081-exec-1] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data/run, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 120
2022-05-04 19:00:21.582  INFO [nio-8081-exec-3] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 79
2022-05-04 19:00:25.898  INFO [nio-8081-exec-4] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/type, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 154
2022-05-04 19:00:25.947  INFO [nio-8081-exec-8] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 38
2022-05-04 19:00:39.834  INFO [nio-8081-exec-2] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 336
2022-05-04 19:00:40.289  INFO [nio-8081-exec-6] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data/run, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 130
2022-05-04 19:00:41.407  INFO [nio-8081-exec-5] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 340
2022-05-04 19:00:41.554  INFO [nio-8081-exec-7] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data/run, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 129
2022-05-04 19:00:43.067  INFO [nio-8081-exec-9] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 340
2022-05-04 19:00:43.213  INFO [io-8081-exec-10] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data/run, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 131
2022-05-04 19:00:49.633  INFO [nio-8081-exec-1] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 335
2022-05-04 19:00:50.088  INFO [nio-8081-exec-3] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data/run, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 131
2022-05-04 19:00:52.481  INFO [nio-8081-exec-4] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 338
2022-05-04 19:00:52.618  INFO [nio-8081-exec-8] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data/run, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 127
2022-05-04 19:00:55.584  INFO [nio-8081-exec-2] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 338
2022-05-04 19:00:56.041  INFO [nio-8081-exec-6] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data/run, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 129
2022-05-04 19:01:03.270  INFO [nio-8081-exec-5] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 191
2022-05-04 19:01:05.327  INFO [nio-8081-exec-7] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 84
2022-05-04 19:01:12.477  INFO [nio-8081-exec-9] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/type, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 157
2022-05-04 19:01:12.620  INFO [io-8081-exec-10] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 38
2022-05-04 19:01:57.645  INFO [nio-8081-exec-1] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 86
2022-05-04 19:02:14.137  INFO [nio-8081-exec-3] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/type, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 154
2022-05-04 19:02:14.343  INFO [nio-8081-exec-4] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 113
2022-05-04 19:02:29.584  INFO [nio-8081-exec-8] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/type, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 166
2022-05-04 19:02:30.039  INFO [nio-8081-exec-2] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 120
2022-05-04 19:02:42.364  INFO [nio-8081-exec-6] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/type, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 157
2022-05-04 19:02:42.590  INFO [nio-8081-exec-5] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 119
2022-05-04 19:02:48.451  INFO [nio-8081-exec-7] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/type, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 158
2022-05-04 19:02:48.905  INFO [nio-8081-exec-9] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 117
2022-05-04 19:02:54.599  INFO [io-8081-exec-10] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 322
2022-05-04 19:02:54.729  INFO [nio-8081-exec-1] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data/run, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 122
2022-05-04 19:02:59.225  INFO [nio-8081-exec-3] com.flow.eda.web.log.LogAspect           : URI: /api/v1/node/data/stop, METHOD: POST, IP: 127.0.0.1, STATUS: 200, TIME: 46
2022-05-04 19:03:03.723  INFO [nio-8081-exec-4] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 77
2022-05-04 19:03:06.104  INFO [nio-8081-exec-8] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 77
2022-05-04 19:03:08.344  INFO [nio-8081-exec-2] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 84
2022-05-04 19:03:10.692  INFO [nio-8081-exec-6] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 85
2022-05-04 19:03:13.166  INFO [nio-8081-exec-5] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 82
2022-05-04 19:03:34.344  INFO [nio-8081-exec-7] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 82
2022-05-04 19:03:36.222  INFO [nio-8081-exec-9] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 79
2022-05-04 19:03:38.034  INFO [io-8081-exec-10] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 80
2022-05-04 19:03:41.289  INFO [nio-8081-exec-1] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 2
2022-05-04 19:06:55.983  INFO [nio-8081-exec-3] com.flow.eda.web.log.LogAspect           : URI: /api/v1/flow, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 127
2022-05-04 19:16:24.799  INFO [nio-8081-exec-4] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 91
2022-05-04 19:16:46.019  INFO [nio-8081-exec-8] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 3
2022-05-04 19:30:37.449  INFO [nio-8081-exec-2] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 93
